feature,n_trajectories,grand_mean,grand_std,sd_agent_means,n_agent_groups,sd_instance_id_means,n_instance_id_groups,ratio_instance_id_over_agent,sd_fix_type_means,n_fix_type_groups,ratio_fix_type_over_agent,sd_repo_means,n_repo_groups,ratio_repo_over_agent
n_steps,862,30.718097447795824,19.809971142201007,8.856512667839764,3,12.53726762099584,300,1.4155986776287044,6.959227947974075,13,0.7857751926720311,5.402142451653425,12,0.6099627081514792
n_edits,862,11.365429234338746,12.125643524533816,5.477646676643047,3,7.309264155829253,300,1.3343803620989854,4.55002860119542,13,0.8306539048232088,2.6358577098703293,12,0.4812025794050856
n_searches,862,2.788863109048724,4.714321113458199,0.5445582137281014,3,3.2597270325927568,300,5.986002874286536,1.1290890731451753,13,2.073403806390717,1.3344235975934093,12,2.4504700580270535
n_opens,862,3.1160092807424595,4.047970064102167,1.0673789253340327,3,2.501868247798978,300,2.3439363364008963,0.9838751915125635,13,0.9217674887150906,0.8004862111096321,12,0.7499550460574465
n_runs,862,4.613689095127611,5.244360775193863,1.91613149715553,3,3.3994889535850654,300,1.7741417844399292,1.3408172957907707,13,0.6997522340096152,1.920571610309981,12,1.0023172277899728
n_nav,862,2.6774941995359627,3.93329150957178,0.9257057556359517,3,2.782782874693043,300,3.0061203117196733,0.9823744297070894,13,1.061216724349096,1.2378067624866655,12,1.337149256068202
edit_retries,862,5.580046403712297,10.184475945683422,4.088749497917677,3,6.075640590437312,300,1.4859410177932206,3.2242478964259638,13,0.7885657700644201,1.89688018608676,12,0.46392673042278704
edit_retry_rate,862,0.29113550154655937,0.2891256390951835,0.04504669878066573,3,0.197448746849638,300,4.383201259897517,0.13613051288151937,13,3.021986439990743,0.06332427914650926,12,1.4057473879459588
n_files_opened,862,1.9976798143851509,1.5765394407256343,0.3701085057920141,3,1.0165751309683204,300,2.746694861262103,0.5131765004670534,13,1.3865568946298081,0.34605591711278366,12,0.9350120618607263
n_files_edited,862,0.2819025522041763,0.6921642737806111,0.2429892671342196,3,0.45442482324382416,300,1.870143601827542,0.22705670450880747,13,0.9344310025981045,0.317332471032409,12,1.3059526240602413
