feature,n_trajectories,grand_mean,grand_std,sd_agent_means,n_agent_groups,sd_instance_id_means,n_instance_id_groups,ratio_instance_id_over_agent,sd_fix_type_means,n_fix_type_groups,ratio_fix_type_over_agent,sd_repo_means,n_repo_groups,ratio_repo_over_agent
n_steps,786,30.963104325699746,20.121982466356624,8.820355789993227,3,12.64483212672779,262,1.4335966062812868,6.566064159441688,13,0.7444216895299106,7.2315685748548875,12,0.8198726612660191
n_edits,786,11.5941475826972,12.329320502344368,5.388318590729751,3,7.240754273601432,262,1.3437873339669772,4.8287687654571645,13,0.8961550220443061,3.1750668949769043,12,0.5892500306940645
n_searches,786,2.7519083969465647,4.751750885807269,0.5165096696067489,3,3.2651954366878946,262,6.321654034422806,1.0828040518098663,13,2.0963867968517853,1.5300703633524202,12,2.9623266579256073
n_opens,786,3.104325699745547,4.081564158243868,1.1690630556239408,3,2.475622817505118,262,2.117612737478778,0.8521906706354956,13,0.7289518444158454,0.8977554616089143,12,0.7679273220466052
n_runs,786,4.730279898218829,5.377331440848881,1.9261099097047307,3,3.5052996436617097,262,1.81988557662271,1.3423453633763471,13,0.6969204387625659,1.9976462689372207,12,1.0371403308150033
n_nav,786,2.599236641221374,3.874588047465197,0.8409688458747745,3,2.6895789800275356,262,3.1981909831984794,0.9703956210110022,13,1.153901985514812,1.345317684851688,12,1.5997235705590147
edit_retries,786,5.713740458015267,10.342207848839777,4.052412501646803,3,5.902636119432868,262,1.4565733663673626,3.854608342843773,13,0.9511885429425937,2.1956771519384195,12,0.5418197557741591
edit_retry_rate,786,0.293436872062764,0.2899537193567277,0.0448631327873051,3,0.19191298344231852,262,4.277743695523288,0.13794334016182436,13,3.0747594202975077,0.08685713331597641,12,1.9360469927003032
n_files_opened,786,2.0025445292620865,1.6128445066010604,0.41552832867485356,3,1.0245984236190293,262,2.4657727353668983,0.49400980059956745,13,1.1888715317557201,0.3801411725258801,12,0.9148381621493163
n_files_edited,786,0.23791348600508905,0.6682138737266878,0.23436274846741226,3,0.37454700003705566,262,1.5981507406205204,0.1522399052398214,13,0.649590885221207,0.2848614417387215,12,1.2154723547216422
